Crop,Question,Answer
general,What are physical pest in Crops?,Like animals
general,What are right germination conditions,"Air, moisture, oxygen and nutrients"
beans,What are signs of bean anthracnose,Reddish brown strips on the leaves and stem
cassava,What are signs of cassava mosaic disease,Folded leaves
cassava,What are symptoms of cassava blight disease?,Brown spots on leaves
general,What are the problems farmer faced in dry land when time of planting,Poor germination and crop growth
general,What are the advantages of sowing by transplantation?,The seedlings are strong enough
beans,What are the common beans diseases,"Anthracnose , angular leaf spot , rust and common bacterial blight"
cassava,What are the common cassava diseases,Viral and bacterial diseases
general,What are the components of germination?,Two
cassava,What are the conditions that ensure maximum effectiveness of herbicides in cassava weed control?,Spray before rains and when the day is not windy
general,What are the disadvantages of the use of fertilizers?,They may lead to loss of other nutrients and are costly
cassava,What are the factors determining methods of harvesting to be used on cassava ?,The terrain and soil type
general,What are the factors of price fluctuation in Crops?,Availability of crop produce and the demand
general,What are the factors which affect soil fertility?,Use both organic and inorganic fertilizers and good management practices
cassava,What are the features of a healthy cassava plant?,Enough leaves and lack of disease or disease symptoms
maize,What are the methods of breaking maize seed dormancy?,Use chemicals or viability enhancers
general,What are the natural methods by which lost nutrients can be replenished in soil?,Fertilization using good crops
beans,What are the pest and disease of beans?,Leaf based and pod based pests and bacterial and fungal diseases
maize,What are the precautions that I should be taken when storing maize grains?,Make sure it well dried
general,What are the qualities of a good fertilizer?,Sustains crop production
general,What are the qualities of a good store?,It should be well aerated and free from rodents.
general,What are the reasons for storing Food products?,To make sure they are in a good state
general,What are the side affects of soil erosion?,Loss of nutrients
general,What are the type of fertilizer we have?,Artificial and organic
beans,What are the types of diseases of beans,Bacterial and fungal diseases
maize,What are the types of diseases of maize,Viral and bacterial diseases
general,What are the ways in which I a farmer should minimize the effects of drought on crops?,Use irrigation
general,What are weeds?,Plants that compete with crops
beans,What artificial fertilizer is used for planting beans?,NPK
beans,What can I do to help me grow beans during dry season,Irrigate the crop
cassava,What can I use for drying my cassava,Dry your produce on tarpaulines or cement floor away from dust and grit that would contaminate them
general,What can I use in seed soaking process?,Water and some chemicals reccoended for the practice being done
maize,What can I use in spacing maize,30X70cm
cassava,What can I use to carry manure to My cassava garden,Wheel barrow
general,What can I use to carry manure to the garden?,A wheel barrow
beans,What can I use to harvest my beans,Hands or appropriate machinery
maize,What can I use to my maize in store,Store in a cool dry place
maize,What can I use to plough maize garden,A hoe or tractor
beans,What can I use to store my bean,A cool dry place
general,What can I use to water my garden during dry season,Irrigation implements
cassava,What can a farmer use for storing cassava?,A well ventilated store free from pests
general,What can help me make good compose manure?,A manure pit and home waste
cassava,What cassava green mite,A pest that attacks cassava leaves and defoliates it
cassava,What causes curling of cassava leaves?,Cassava mosiac disease
maize,What causes Bacterial stalk in maize plants?,Erwinia
maize,What causes Maize leaf rust?,Fungal diseases/infection
maize,What causes Seed dormancy in maize seeds ?,When you dont harvest properly
beans,What causes bean stem borers,Moths and other larvae
beans,What causes bean stem maggots,An insect that lays maggots in the bean
